区分,チャンネル名,用途,担当者,更新頻度,備考
🎯メイン,#雑談‐交流所,日常会話・軽い連絡・挨拶,全員,随時,チームの交流・相談に使用
🧾会議／進行,#議事録,会議まとめ・議題ログ記録,Lancer,会議後更新,会議終了後に要点をまとめる
🛠制作関連,#進捗,制作進行状況の共有,全員（担当別スレッド推奨）,週1,進行状況を報告・確認
🎨デザイン,#画像検証エリア,イラスト・UI共有・デザインレビュー,泡餅／えだまめ／kurohina,不定期,ラフ画やUI試作を共有
📜シナリオ／技術,#プログラム・#テキストチャンネル,シナリオ・ゲーム構造設計,Lancer／Emu／Shota,進行時更新,コード・台本・仕様関連
📅スケジュール,#スケジュール,会議予定・タスク一覧,Emu,随時,Googleカレンダー・スプレッドシート連動予定
📦資料保管,#資料保管庫,完成済データや共有資料の保管,管理者のみ,不定期,バックアップ・参照用
🗃人物・構成,#担当,担当表・役割分担,Emu／プラウダー,更新時,新規加入・離脱時に修正
🧠アイデア,#アイデア投下,提案・ネタ共有,全員,自由,ゲーム内要素や演出案の投稿
💬Q&A,#質問‐問題,質問・トラブル報告,全員,随時,小さな相談もここで受け付け
📖アーカイブ,#中屋アクとの対話ログ全文,物語補足・資料参照,閲覧専用,不定期,設定・物語の裏資料置き場
